"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","feature to use waiting of page elements","1","0","Validate click on button","0"
"0","","0","feature to use waiting of page elements","1","0","Validate click on button enable after","0"
